Found 747 mutants to test
ok       Unmutated baseline in 15s build + 1s test
 INFO Auto-set test timeout to 20s
MISSED   src/texel/dataset.rs:123:19: replace += with *= in build_cache in 2s build + 1s test
MISSED   src/texel/dataset.rs:164:27: replace * with / in extract_parallel in 2s build + 1s test
MISSED   src/texel/dataset.rs:208:36: replace / with * in fold_feature_vec in 2s build + 0s test
MISSED   src/texel/dataset.rs:209:74: replace + with - in fold_feature_vec in 2s build + 1s test
TIMEOUT  src/texel/dataset.rs:281:9: replace <impl Iterator for CacheStream>::next -> Option<Vec<CachedRec>> with Some(vec![]) in 3s build + 20s test
MISSED   src/texel/dataset.rs:330:57: replace < with > in split_by_game in 2s build + 1s test
MISSED   src/texel/dataset.rs:330:57: replace < with <= in split_by_game in 3s build + 1s test
MISSED   src/texel/dataset.rs:368:27: replace * with + in effective_source_counts in 4s build + 1s test
MISSED   src/texel/dataset.rs:368:21: replace / with % in effective_source_counts in 4s build + 1s test
MISSED   src/texel/dataset.rs:368:21: replace / with * in effective_source_counts in 4s build + 1s test
MISSED   src/texel/features.rs:63:77: replace + with - in reference_score_white in 5s build + 1s test
MISSED   src/texel/features.rs:65:77: replace + with - in reference_score_white in 6s build + 1s test
MISSED   src/texel/features.rs:199:16: replace += with -= in passed_term in 13s build + 2s test
MISSED   src/texel/features.rs:206:22: replace & with | in passed_term in 14s build + 2s test
MISSED   src/texel/features.rs:206:22: replace & with ^ in passed_term in 13s build + 2s test
MISSED   src/texel/features.rs:207:20: replace += with -= in passed_term in 13s build + 2s test
MISSED   src/texel/features.rs:208:29: replace & with | in passed_term in 14s build + 2s test
MISSED   src/texel/features.rs:208:29: replace & with ^ in passed_term in 14s build + 2s test
MISSED   src/texel/features.rs:209:20: replace -= with += in passed_term in 14s build + 2s test
MISSED   src/texel/features.rs:223:16: replace += with -= in passed_term in 15s build + 2s test
MISSED   src/texel/features.rs:223:36: replace * with / in passed_term in 17s build + 2s test
MISSED   src/texel/features.rs:223:24: replace * with / in passed_term in 17s build + 2s test
MISSED   src/texel/features.rs:243:12: replace > with == in endgame_scale in 16s build + 2s test
MISSED   src/texel/features.rs:243:12: replace > with < in endgame_scale in 16s build + 2s test
MISSED   src/texel/features.rs:243:12: replace > with >= in endgame_scale in 16s build + 2s test
MISSED   src/texel/features.rs:244:25: replace - with + in endgame_scale in 17s build + 2s test
